PRCP ID,Statistical Outlier %,Statistical Outlier Score
1000000110,5.20546,1
1000000314,762.94883,2
1000000414, 62.57906,2
1000000463,2.93000,1
1000000494, 45.08367,2
1000000505, 30.48982,1
1000000531,0.23400,3
1000000542,1.92272,1
1000000582,3.81336,1
1000000593,103.08860,2
1000000594,5.74830,1
1000000639,1.87720,1
1000001212,2.98459,1
1000001328,4.04298,1
1000001349,3.37413,1
1000001406,5.28679,1
1000001474, 20.07771,1
1000001515,7.13994,1
1000001609,1.42812,1
1000001659, 11.51294,1
1000001677,7.42236,1
1000001686, 12.73956,1
1000001742, 13.75820,1
1000001752,0.53781,3
1000001759,2.71786,1
1000001762, 10.59810,1
1000001778, 99.60433,2
1000001790,1.98550,1
1000001871, 13.69580,1
1000001875,4.41700,1
1000001889,7.40956,1
1000002025,4.63098,1
1000002070,2.22049,1
1000002077,0.34600,3
1000002205,2.62609,1
1000002223,3.67440,1
1000002227, 13.68840,1
1000002251,2.40920,1
1000002253,6.54338,1
1000002379,3.74532,1
1000002420,6.36863,1
1000002461, 14.23406,1
1000002484,0.63200,3
1000002513, 13.29508,1
1000002634,2.54068,1
1000002688,0.20130,3
1000002713,3.57000,1
1000002729,3.89080,1
1000002800,4.78840,1
1000002827,4.62100,1
1000002829,1.93696,1
1000003039, 51.70600,2
1000003107, 10.21826,1
1000003180,6.16010,1
1000003219,132.39588,2
1000003233,1.99601,1
1000003258,222.53780,2
1000003266, 22.03808,1
1000003306,2.56145,1
1000003387,5.07820,1
1000003594, 42.19120,2
1000003723, 18.11306,1
1000003729, 28.66780,1
1000003737,3.09698,1
1000003776, 12.80640,1
1000003849,3.88520,1
1000003909,0.14770,3
1000003950,3.71300,1
1000003968, 32.51234,1
1000003994,2.83534,1
1000004029,3.28300,1
1000004105,6.35248,1
1000004135,8.63188,1
1000004146,4.05938,1
1000004169, 59.72193,2
1000004203,4.98380,1
1000004229,   2192.06310,2
1000004248,2.46898,1
1000004262,   2212.24860,2
1000004309, 23.79994,1
1000004345,1.79600,1
1000004397,   1001.93275,2
1000004414,1.19482,3
1000004543, 11.11437,1
1000004555,5.85699,1
1000004571,   1352.26706,2
1000004657,2.58860,1
1000004728,   1496.71672,2
1000004762,9.41948,1
1000004870, 83.16400,2
1000004961,7.69935,1
1000004965,   1890.91232,2
1000004978,1.15548,3
1000004999,9.95224,1
1000005426,3.54305,1
1000005474,2.89996,1
1000005527,5.55922,1
1000005614,3.19400,1
1000005745, 11.58203,1
1000005788,6.41883,1
1000005792,5.15462,1
1000005805, 39.75400,2
1000005815,2.11336,1
1000005917,2.92382,1
1000005947,6.31173,1
1000005950,1.31763,1
1000005964, 16.76894,1
1000006004,0.28243,3
1000006026,8.84152,1
1000006202,4.99560,1
1000006210,2.67499,1
1000006281,1.56036,1
1000006310,202.88547,2
1000006344, 29.39642,1
1000006357,3.32494,1
1000006514, 48.89682,2
1000006566, 20.66143,1
1000006699,1.77411,1
1000006804,6.22535,1
1000006908,5.33380,1
1000007027,8.50548,1
1000007030, 10.36469,1
1000007151,4.06142,1
1000007243,7.76290,1
1000007273,0.75203,3
1000007274,3.26684,1
1000007292,9.62334,1
1000007301,2.45202,1
1000007356,4.64019,1
1000007452,9.92765,1
1000007470,3.43405,1
1000007471,8.02518,1
1000007480,1.70369,1
1000007481, 11.33162,1
1000007503,1.26810,1
1000007506,1.72840,1
1000007514,5.26100,1
1000008072,5.00446,1
1000008077,9.24500,1
1000008100,6.41000,1
1000008123, 22.20345,1
1000008124, 15.91380,1
1000008128,178.25800,2
1000008130,6.97230,1
1000008158,5.25450,1
1000008176,3.76650,1
1000008203,8.63720,1
1000008234,2.49367,1
1000008293,1.72020,1
1000008315,4.56366,1
1000008372,5.51263,1
1000008430,1.92520,1
1000008476,0.98312,3
1000008479,3.51469,1
1000008509,2.90000,1
1000008544,4.47946,1
1000008568,2.48926,1
1000008570,3.00715,1
1000008579,2.19050,1
1000008682,1.20830,3
1000008723, 31.24138,1
1000008738, 11.33635,1
1000008740, 12.31726,1
1000008745,361.07679,2
1000008747,1.81948,1
1000008771,2.89072,1
1000008774,0.99844,3
1000008826,5.26436,1
1000008831,3.22546,1
1000008909,6.93030,1
1000008912,3.13960,1
1000008922,5.25100,1
1000008928,2.87100,1
1000008929,2.75705,1
1000008930, 78.19920,2
1000008964,2.31370,1
1000009001,3.30901,1
1000009013,3.80281,1
1000009015,5.02650,1
