PRCP ID,Auto-Encoder Outlier %,Auto-Encoder Outlier Score
1000000110,0.000077,3
1000000314,0.000593,2
1000000414,0.000131,1
1000000463,0.000295,2
1000000494,0.00009,1
1000000505,0.000087,1
1000000531,0.000089,1
1000000542,0.00009,1
1000000582,0.000103,1
1000000593,0.000484,2
1000000594,0.000088,1
1000000639,0.000089,1
1000001212,0.000077,3
1000001328,0.000087,1
1000001349,0.000082,1
1000001406,0.000087,1
1000001474,0.000102,1
1000001515,0.000089,1
1000001609,0.000092,1
1000001659,0.000093,1
1000001677,0.00009,1
1000001686,0.000078,3
1000001742,0.000132,2
1000001752,0.000087,1
1000001759,0.000085,1
1000001762,0.000102,1
1000001778,0.000107,1
1000001790,0.00009,1
1000001871,0.000084,1
1000001875,0.000458,2
1000001889,0.00008,1
1000002025,0.000084,1
1000002070,0.00009,1
1000002077,0.000101,1
1000002205,0.000095,1
1000002223,0.000118,1
1000002227,0.000096,1
1000002251,0.000088,1
1000002253,0.000103,1
1000002379,0.00008,3
1000002420,0.000087,1
1000002461,0.000087,1
1000002484,0.000088,1
1000002513,0.000084,1
1000002634,0.000097,1
1000002688,0.00009,1
1000002713,0.000093,1
1000002729,0.000083,1
1000002800,0.000089,1
1000002827,0.000462,2
1000002829,0.000086,1
1000003039,0.000464,2
1000003107,0.000084,1
1000003180,0.000089,1
1000003219,0.000414,2
1000003233,0.000089,1
1000003258,0.000494,2
1000003266,0.000083,1
1000003306,0.000088,1
1000003387,0.000097,1
1000003594,0.000089,1
1000003723,0.000096,1
1000003729,0.000261,2
1000003737,0.000088,1
1000003776,0.00009,1
1000003849,0.000093,1
1000003909,0.000091,1
1000003950,0.000117,1
1000003968,0.000088,1
1000003994,0.000102,1
1000004029,0.000112,1
1000004105,0.000084,1
1000004135,0.000089,1
1000004146,0.000078,3
1000004169,0.000089,1
1000004203,0.000086,1
1000004229,0.000688,2
1000004248,0.00008,1
1000004262,0.000656,2
1000004309,0.000083,1
1000004345,0.000087,1
1000004397,0.000537,2
1000004414,0.000088,1
1000004543,0.000108,1
1000004555,0.000091,1
1000004571,0.000501,2
1000004657,0.000092,1
1000004728,0.000501,2
1000004762,0.000079,3
1000004870,0.000473,2
1000004961,0.00008,1
1000004965,0.00062,2
1000004978,0.000106,1
1000004999,0.00008,3
1000005426,0.000087,1
1000005474,0.000084,1
1000005527,0.000088,1
1000005614,0.000114,1
1000005745,0.000083,1
1000005788,0.000083,1
1000005792,0.000106,1
1000005805,0.000336,2
1000005815,0.000084,1
1000005917,0.000087,1
1000005947,0.000438,2
1000005950,0.000082,1
1000005964,0.000083,1
1000006004,0.000086,1
1000006026,0.000092,1
1000006202,0.000103,1
1000006210,0.000094,1
1000006281,0.000085,1
1000006310,0.000161,2
1000006344,0.000088,1
1000006357,0.000082,1
1000006514,0.00057,2
1000006566,0.000083,1
1000006699,0.000079,3
1000006804,0.000084,1
1000006908,0.000089,1
1000007027,0.000123,1
1000007030,0.000111,1
1000007151,0.000101,1
1000007243,0.000081,1
1000007273,0.000085,1
1000007274,0.000085,1
1000007292,0.000084,1
1000007301,0.000088,1
1000007356,0.000079,3
1000007452,0.000091,1
1000007470,0.000082,1
1000007471,0.000085,1
1000007480,0.000097,1
1000007481,0.000092,1
1000007503,0.000085,1
1000007506,0.000094,1
1000007514,0.000537,2
1000008072,0.000081,1
1000008077,0.000129,1
1000008100,0.000468,2
1000008123,0.00047,2
1000008124,0.000089,1
1000008128,0.000475,2
1000008130,0.000082,1
1000008158,0.000089,1
1000008176,0.000095,1
1000008203,0.000099,1
1000008234,0.000085,1
1000008293,0.000088,1
1000008315,0.000081,1
1000008372,0.000087,1
1000008430,0.000088,1
1000008476,0.000097,1
1000008479,0.000082,1
1000008509,0.000104,1
1000008544,0.000087,1
1000008568,0.000085,1
1000008570,0.00011,1
1000008579,0.000086,1
1000008682,0.000088,1
1000008723,0.000088,1
1000008738,0.000084,1
1000008740,0.000083,1
1000008745,0.000377,2
1000008747,0.000083,1
1000008771,0.000082,1
1000008774,0.000124,1
1000008826,0.000084,1
1000008831,0.000084,1
1000008909,0.00008,1
1000008912,0.000084,1
1000008922,0.000539,2
1000008928,0.000098,1
1000008929,0.000099,1
1000008930,0.000097,1
1000008964,0.000084,1
1000009001,0.000085,1
1000009013,0.000084,1
1000009015,0.000114,1
1000009027,0.000095,1
1000009041,0.000079,3
1000009080,0.000096,1
1000009107,0.000084,1
1000009140,0.000087,1
1000009236,0.000082,1
1000009263,0.000084,1
1000009269,0.000502,2
1000009306,0.000096,1
1000009339,0.000084,1
1000009362,0.000088,1
1000009403,0.000084,1
1000009489,0.000096,1
1000009523,0.000081,1
1000009540,0.000087,1
1000009589,0.000089,1
1000009666,0.000088,1
1000009709,0.000086,1
1000009748,0.000088,1
1000009773,0.000091,1
1000009788,0.000124,1
1000009799,0.000542,2
1000009816,0.000084,1
1000009842,0.000088,1
1000009873,0.000082,1
1000009915,0.000088,1
1000009917,0.000088,1
1000010006,0.000107,1
1000010029,0.000093,1
1000010042,0.000089,1
1000010051,0.000091,1
1000010139,0.000088,1
1000010141,0.000095,1
1000010144,0.000119,1
1000010157,0.00008,1
1000010181,0.000089,1
1000010194,0.000078,3
1000010208,0.000079,3
1000010227,0.000093,1
1000010229,0.000107,1
1000010247,0.000088,1
1000010250,0.000082,1
1000010291,0.000089,1
1000010326,0.000085,1
1000010333,0.000116,1
1000010337,0.000089,1
1000010348,0.000092,1
1000010399,0.000079,3
1000010405,0.000083,1
1000010554,0.000085,1
1000010590,0.000085,1
1000010593,0.000476,2
1000010603,0.000485,2
1000010675,0.000087,1
1000010688,0.000115,1
1000010753,0.00009,1
1000010755,0.000088,1
1000010758,0.000079,3
1000010804,0.000088,1
1000010822,0.000089,1
1000010848,0.000088,1
1000010853,0.00009,1
1000010856,0.000273,2
1000010893,0.000127,1
1000010920,0.000088,1
1000010947,0.000087,1
1000010957,0.000081,1
1000010979,0.000078,3
1000011005,0.000462,2
1000011010,0.000092,1
1000011160,0.00008,1
1000011211,0.000085,1
1000011249,0.000117,1
1000011274,0.000077,3
1000011284,0.000091,1
1000011304,0.000085,1
1000011314,0.000085,1
1000011329,0.000518,2
1000011405,0.00059,2
1000011417,0.000083,1
1000011420,0.000263,2
1000011423,0.000425,2
1000011432,0.000081,1
1000011474,0.000104,1
1000011517,0.000084,1
1000011531,0.000198,2
1000011601,0.000345,2
1000011666,0.000089,1
1000011667,0.000087,1
1000011685,0.000091,1
1000011687,0.000078,3
1000011700,0.000087,1
1000011714,0.000083,1
1000011715,0.000081,1
1000011734,0.000086,1
1000011909,0.000078,3
1000011973,0.000089,1
1000011993,0.000082,1
1000011994,0.000261,2
1000012041,0.000485,2
1000012043,0.000096,1
1000012083,0.000086,1
1000012099,0.000088,1
1000012100,0.00009,1
1000012104,0.000092,1
1000012161,0.000081,1
1000012231,0.000095,1
1000012273,0.000092,1
1000012319,0.000098,1
1000012327,0.000083,1
1000012347,0.000084,1
1000012375,0.000081,1
1000012431,0.000216,2
1000012449,0.000088,1
1000012516,0.000087,1
1000012533,0.000083,1
1000012541,0.000089,1
1000012581,0.000105,1
1000012630,0.000087,1
1000012643,0.000082,1
1000012645,0.000133,2
1000012651,0.000084,1
1000012675,0.000085,1
1000012686,0.00009,1
1000012710,0.000087,1
1000012743,0.000088,1
1000012762,0.000128,1
1000012799,0.000085,1
1000012805,0.000086,1
1000012854,0.000097,1
1000012897,0.000189,2
1000012904,0.000093,1
1000012931,0.00009,1
1000012947,0.000079,3
1000012956,0.000085,1
1000012957,0.00012,1
1000012958,0.000086,1
1000012976,0.00009,1
1000012992,0.000103,1
1000013013,0.000077,3
1000013037,0.000089,1
1000013053,0.000081,1
1000013088,0.000086,1
1000013106,0.000079,3
1000013116,0.000078,3
1000013191,0.000088,1
1000013206,0.000085,1
1000013214,0.000084,1
1000013226,0.000105,1
1000013255,0.000081,1
1000013266,0.000088,1
1000013278,0.00009,1
1000013327,0.000088,1
1000013340,0.00046,2
1000013352,0.000088,1
1000013359,0.000081,1
1000013360,0.000088,1
1000013361,0.000083,1
1000013389,0.000319,2
1000013493,0.000086,1
1000013551,0.000539,2
1000013554,0.001053,4
1000013555,0.000123,1
1000013662,0.00009,1
1000013762,0.000098,1
1000013770,0.000125,1
1000013806,0.000086,1
1000013877,0.000079,3
1000014069,0.000088,1
1000014088,0.000084,1
1000014117,0.000082,1
1000014150,0.000539,2
1000014191,0.00012,1
1000014206,0.000091,1
1000014242,0.000114,1
1000014244,0.00009,1
1000014256,0.000104,1
1000014261,0.000091,1
1000014290,0.000234,2
1000014337,0.000088,1
1000014343,0.000087,1
1000014392,0.000093,1
1000014428,0.000082,1
1000014453,0.000115,1
1000014464,0.00008,1
1000014490,0.000088,1
1000014491,0.000083,1
1000014503,0.000479,2
1000014554,0.000088,1
1000014557,0.000088,1
1000014668,0.000082,1
1000014671,0.000126,1
1000014674,0.000082,1
1000014710,0.000087,1
1000014754,0.000116,1
1000014773,0.000083,1
1000014780,0.000089,1
1000014809,0.000092,1
1000014813,0.000082,1
1000014816,0.000088,1
1000014835,0.000101,1
1000014865,0.000127,1
1000014869,0.000097,1
1000014871,0.000091,1
1000014883,0.000104,1
1000014905,0.000086,1
1000014939,0.000086,1
1000014958,0.000087,1
1000014964,0.000085,1
1000014990,0.000087,1
1000015035,0.000079,3
1000015037,0.000094,1
1000015058,0.000084,1
1000015096,0.000085,1
1000015110,0.000089,1
1000015132,0.000117,1
1000015139,0.000096,1
1000015151,0.000089,1
1000015178,0.000093,1
1000015179,0.000089,1
1000015184,0.000557,2
1000015185,0.000088,1
1000015240,0.000093,1
1000015269,0.000083,1
1000015286,0.000087,1
1000015300,0.000098,1
1000015309,0.000085,1
1000015311,0.000085,1
1000015344,0.000082,1
1000015358,0.000099,1
1000015438,0.000087,1
1000015440,0.0001,1
1000015486,0.000124,1
1000015503,0.000116,1
1000015517,0.000129,1
1000015629,0.000119,1
1000015755,0.000086,1
1000015803,0.000085,1
1000015841,0.000573,2
1000015867,0.000081,1
1000015930,0.000104,1
